Precinct,Krasner,Khan,Untermeyer,El_Shabazz,Negrin,Deni,O_Neill,Write_In,DivNo,Winner,WinPercent
24-06,38.29,24,14.86,12,8,2.29,0.57,0,2406,Krasner,38.29
24-07,41.67,9.72,13.89,20.83,12.5,0,1.39,0,2407,Krasner,41.67
24-08,70,7.33,6.67,6.67,6,2.67,0.67,0,2408,Krasner,70
24-09,31.51,9.59,21.92,23.29,10.96,0,1.37,1.37,2409,Krasner,31.51
24-10,61.11,11.11,0,11.11,16.67,0,0,0,2410,Krasner,61.11
24-11,38.98,13.56,16.95,20.34,5.08,0,5.08,0,2411,Krasner,38.98
24-12,24.62,13.85,12.31,36.92,10.77,1.54,0,0,2412,El Shabazz,36.92
24-13,26.83,21.95,14.63,23.17,8.54,3.66,1.22,0,2413,Krasner,26.83
24-14,27.94,20.59,19.12,19.12,10.29,1.47,1.47,0,2414,Krasner,27.94
24-15,20,17.78,15.56,26.67,20,0,0,0,2415,El Shabazz,26.67
24-16,36.84,7.89,10.53,31.58,10.53,0,2.63,0,2416,Krasner,36.84
24-17,31.43,17.14,14.29,20,11.43,5.71,0,0,2417,Krasner,31.43
24-18,61.9,19.05,4.76,2.38,4.76,4.76,2.38,0,2418,Krasner,61.9
24-19,45.83,16.67,12.5,0,4.17,12.5,8.33,0,2419,Krasner,45.83
25-01,27.03,24.32,16.22,0,18.92,5.41,8.11,0,2501,Krasner,27.03
25-02,44,16,16,8,8,0,8,0,2502,Krasner,44
25-03,36.36,22.73,9.09,3.03,15.15,6.06,7.58,0,2503,Krasner,36.36
25-04,40,16.36,12.73,1.82,16.36,0,12.73,0,2504,Krasner,40
25-05,40.35,19.3,5.26,0,21.05,5.26,8.77,0,2505,Krasner,40.35
25-06,30.61,16.33,16.33,0,16.33,0,20.41,0,2506,Krasner,30.61
25-07,19.64,19.64,21.43,1.79,17.86,0,19.64,0,2507,Untermeyer,21.43
25-08,44.19,23.26,6.98,4.65,11.63,0,9.3,0,2508,Krasner,44.19
25-09,19.05,14.29,19.05,19.05,19.05,0,9.52,0,2509,Tie,19.05
25-10,40,27.5,10,0,10,2.5,10,0,2510,Krasner,40
25-11,44.44,16.67,22.22,2.78,2.78,0,11.11,0,2511,Krasner,44.44
25-12,29.17,22.92,8.33,6.25,6.25,0,27.08,0,2512,Krasner,29.17
25-13,16.67,26.67,36.67,10,6.67,0,3.33,0,2513,Untermeyer,36.67
25-14,31.58,15.79,10.53,0,36.84,0,5.26,0,2514,Negrin,36.84
25-15,16.67,44.44,5.56,5.56,16.67,0,11.11,0,2515,Khan,44.44
25-16,33.33,22.22,11.11,11.11,11.11,0,11.11,0,2516,Krasner,33.33
25-17,33.33,0,13.33,6.67,46.67,0,0,0,2517,Negrin,46.67
25-18,34.78,21.74,13.04,13.04,4.35,8.7,4.35,0,2518,Krasner,34.78
25-19,15,20,20,0,25,5,15,0,2519,Negrin,25
25-20,42.11,26.32,15.79,10.53,0,0,5.26,0,2520,Krasner,42.11
25-21,26.67,13.33,13.33,13.33,33.33,0,0,0,2521,Negrin,33.33
25-22,25.58,20.93,16.28,0,23.26,0,13.95,0,2522,Krasner,25.58
