OBJECTID_1,TotalPop,PctMen,PctWomen,MedAge,MedAgeMen,MedAgeWomen,PctWhite,PctBlack,PctNative,PctAsian,PctPacIsl,PctOther,PctTwoPlus,PctForeignBorn,PctLatino,MedHHincome,PctPoverty,PctEmployed,PctHS,PctAss,PctBac,PctMas,PctProf,PctDoc,Count_,Sum_Krasner,Sum_Khan,Sum_Untermeyer,Sum_El_Shabazz,Sum_Negrin,Sum_Deni,Sum_O_Neill,Sum_Write_In,Sum_Total,Pct_Krasner,Pct_Khan,Pct_Untermeyer,Pct_El_Shabazz,Pct_Negrin,Pct_Deni,Pct_ONeill,Pct_Write_In
300,2813,0.493400000000000,0.506600000000000,33.700000000000003,33.899999999999999,33.600000000000001,0.837539993000000,0.063633132000000,0,0,0,0.033060789000000,0,0.062600000000000,0.041600000000000,104549,0.034800000000000,0.660100000000000,0.056700000000000,0.070000000000000,0.337900000000000,0.246700000000000,0.114300000000000,0.078800000000000,2,259,156,18,10,62,4,12,0,521,49.712092130518229,29.942418426103647,3.454894433781190,1.919385796545105,11.900191938579654,0.767754318618042,2.303262955854127,0.000000000000000
301,2450,0.358400000000000,0.641600000000000,36.399999999999999,25.600000000000001,46.100000000000001,0.022040816000000,0.926530612000000,0,0,0,0.000000000000000,0,0.056300000000000,0.020800000000000,26896,0.310600000000000,0.402900000000000,0.393400000000000,0.086800000000000,0.042500000000000,0.019800000000000,0.000000000000000,0.025100000000000,3,216,36,30,41,15,0,7,0,345,62.608695652173921,10.434782608695652,8.695652173913043,11.884057971014492,4.347826086956522,0.000000000000000,2.028985507246377,0.000000000000000
302,4467,0.427100000000000,0.572900000000000,30.000000000000000,29.399999999999999,30.199999999999999,0.093798970000000,0.864786210000000,0,0,0,0.000000000000000,0,0.021700000000000,0.005400000000000,20268,0.392700000000000,0.308000000000000,0.261200000000000,0.087700000000000,0.092400000000000,0.048200000000000,0.000000000000000,0.005800000000000,7,328,78,52,72,51,6,12,0,599,54.757929883138566,13.021702838063440,8.681135225375627,12.020033388981636,8.514190317195327,1.001669449081803,2.003338898163606,0.000000000000000
303,2219,0.426800000000000,0.573200000000000,30.800000000000001,30.399999999999999,31.100000000000001,0.304191077000000,0.546642632000000,0,0,0,0.002253267000000,0,0.064000000000000,0.043700000000000,48553,0.308700000000000,0.546200000000000,0.199000000000000,0.056000000000000,0.253700000000000,0.126200000000000,0.079800000000000,0.012200000000000,3,188,61,22,42,44,8,15,0,380,49.473684210526315,16.052631578947370,5.789473684210527,11.052631578947368,11.578947368421053,2.105263157894737,3.947368421052631,0.000000000000000
304,2289,0.524700000000000,0.475300000000000,31.399999999999999,28.600000000000001,36.600000000000001,0.255133246000000,0.717780690000000,0,0,0,0.001310616000000,0,0.036700000000000,0.025800000000000,49229,0.200500000000000,0.534300000000000,0.281200000000000,0.082500000000000,0.197400000000000,0.063000000000000,0.028700000000000,0.019600000000000,4,249,75,34,56,75,7,9,0,505,49.306930693069305,14.851485148514850,6.732673267326733,11.089108910891090,14.851485148514850,1.386138613861386,1.782178217821782,0.000000000000000
305,2827,0.475100000000000,0.524900000000000,32.600000000000001,32.899999999999999,31.899999999999999,0.662893527000000,0.249027237000000,0,0,0,0.003183587000000,0,0.072200000000000,0.076100000000000,70000,0.083800000000000,0.721600000000000,0.077100000000000,0.028100000000000,0.320300000000000,0.210400000000000,0.122100000000000,0.045500000000000,4,214,165,11,28,56,5,15,0,494,43.319838056680162,33.400809716599191,2.226720647773279,5.668016194331984,11.336032388663968,1.012145748987854,3.036437246963563,0.000000000000000
306,5163,0.506500000000000,0.493500000000000,34.899999999999999,35.700000000000003,34.000000000000000,0.718380786000000,0.095680806000000,0,0,0,0.008522177000000,0,0.214600000000000,0.166200000000000,57193,0.082500000000000,0.631200000000000,0.209300000000000,0.039400000000000,0.296200000000000,0.134400000000000,0.047000000000000,0.013500000000000,7,643,230,40,33,113,15,27,0,1101,58.401453224341502,20.890099909173479,3.633060853769301,2.997275204359673,10.263396911898274,1.362397820163488,2.452316076294278,0.000000000000000
307,3206,0.503400000000000,0.496600000000000,35.200000000000003,33.100000000000001,35.899999999999999,0.722083593000000,0.149407361000000,0,0,0,0.009981285000000,0,0.086700000000000,0.063000000000000,76750,0.075800000000000,0.676500000000000,0.090700000000000,0.035700000000000,0.340900000000000,0.184700000000000,0.115400000000000,0.043700000000000,4,462,161,12,13,68,10,11,1,738,62.601626016260155,21.815718157181571,1.626016260162602,1.761517615176152,9.214092140921409,1.355013550135501,1.490514905149051,0.135501355013550
308,4533,0.532500000000000,0.467500000000000,36.799999999999997,38.700000000000003,36.200000000000003,0.739466137000000,0.007721156000000,0,0,0,0.067504964000000,0,0.165900000000000,0.136800000000000,50921,0.108800000000000,0.546900000000000,0.225000000000000,0.034900000000000,0.253900000000000,0.125300000000000,0.051900000000000,0.023800000000000,6,728,185,47,6,155,16,103,0,1240,58.709677419354833,14.919354838709678,3.790322580645161,0.483870967741936,12.500000000000000,1.290322580645161,8.306451612903226,0.000000000000000
309,4022,0.435900000000000,0.564100000000000,33.000000000000000,32.399999999999999,33.600000000000001,0.569865738000000,0.308055694000000,0,0,0,0.025609150000000,0,0.065900000000000,0.057200000000000,52786,0.154500000000000,0.517400000000000,0.191200000000000,0.054800000000000,0.302100000000000,0.119300000000000,0.054500000000000,0.004000000000000,3,150,59,23,17,29,5,9,0,292,51.369863013698634,20.205479452054796,7.876712328767123,5.821917808219178,9.931506849315069,1.712328767123288,3.082191780821918,0.000000000000000
