"DistName",County,Precinct,King,Smucker,WriteIn,Total,KingPct,SmuckPct,WIPct
"5712",Lancaster,Manheim Twp - 12th Dist,347,313,,660,52.58,47.42,0.00
"5713",Lancaster,Manheim Twp - 13th Dist,544,608,1,1153,47.18,52.73,0.09
"5714",Lancaster,Manheim Twp - 14th Dist,365,361,1,727,50.21,49.66,0.14
"5715",Lancaster,Manheim Twp - 15th Dist,505,367,2,874,57.78,41.99,0.23
"5716",Lancaster,Manheim Twp - 16th Dist,794,729,,1523,52.13,47.87,0.00
"5717",Lancaster,Manheim Twp - 17th Dist,474,295,2,771,61.48,38.26,0.26
"5718",Lancaster,Manheim Twp - 18th Dist,411,331,,742,55.39,44.61,0.00
"5719",Lancaster,Manheim Twp - 19th Dist,449,280,,729,61.59,38.41,0.00
"5720",Lancaster,Manheim Twp - 20th Dist,498,595,3,1096,45.44,54.29,0.27
"5721",Lancaster,Manheim Twp - 21st Dist,617,626,1,1244,49.60,50.32,0.08
"5722",Lancaster,Manheim Twp - 22nd Dist,515,326,,841,61.24,38.76,0.00
"5723",Lancaster,Manheim Twp - 23rd Dist,561,660,1,1222,45.91,54.01,0.08
"5800",Lancaster,Manor Twp - Bethel Dist,267,223,1,491,54.38,45.42,0.20
"5801",Lancaster,Manor Twp - Hambright Dist,671,551,1,1223,54.87,45.05,0.08
"5802",Lancaster,Manor Twp - Indiantown Dist,203,504,,707,28.71,71.29,0.00
"5803",Lancaster,Manor Twp - Leisure Dist,802,866,,1668,48.08,51.92,0.00
"5804",Lancaster,Manor Twp - Manor New Dist,331,732,4,1067,31.02,68.60,0.37
"5805",Lancaster,Manor Twp - Washington Boro Dist,152,503,,655,23.21,76.79,0.00
"5806",Lancaster,Manor Twp - West Lancaster Dist,552,442,,994,55.53,44.47,0.00
"5807",Lancaster,Manor Twp - New East Dist,743,760,1,1504,49.40,50.53,0.07
"5808",Lancaster,Manor Twp - Hershey Mill Dist,342,308,1,651,52.53,47.31,0.15
"5900",Lancaster,Martic Twp - Marticville Dist,416,758,1,1175,35.40,64.51,0.09
"5901",Lancaster,Martic Twp - Holtwood Dist,195,541,2,738,26.42,73.31,0.27
"6001",Lancaster,Mount Joy Twp - Milton Grove Dist,412,733,,1145,35.98,64.02,0.00
"6002",Lancaster,Mount Joy Twp - Fairview,213,713,,926,23.00,77.00,0.00
"6003",Lancaster,Mount Joy Twp - Cloverleaf,472,629,,1101,42.87,57.13,0.00
"6004",Lancaster,Mount Joy Twp - Hershey Road,457,744,,1201,38.05,61.95,0.00
"6100",Lancaster,Paradise Twp,301,1010,,1311,22.96,77.04,0.00
"6201",Lancaster,Penn Twp - Junction Dist,544,1021,,1565,34.76,65.24,0.00
"6202",Lancaster,Penn Twp - South Penn Dist,398,857,1,1256,31.69,68.23,0.08
"6203",Lancaster,Penn Twp - Penryn,236,821,1,1058,22.31,77.60,0.09
"6300",Lancaster,Pequea Twp - West Willow Dist,446,881,2,1329,33.56,66.29,0.15
"6301",Lancaster,Pequea Twp - New Danville Dist,222,583,,805,27.58,72.42,0.00
"6400",Lancaster,Providence Twp - East Dist,344,883,1,1228,28.01,71.91,0.08
"6401",Lancaster,Providence Twp - West Dist,271,766,,1037,26.13,73.87,0.00
"6501",Lancaster,Rapho Twp - Sporting Hill Dist,201,783,,984,20.43,79.57,0.00
"6502",Lancaster,Rapho Twp - Elm Tree I Dist,183,641,3,827,22.13,77.51,0.36
"6503",Lancaster,Rapho Twp - Union Square Dist,232,885,1,1118,20.75,79.16,0.09
"6504",Lancaster,Rapho Twp - Elm Tree II Dist,462,820,,1282,36.04,63.96,0.00
"6505",Lancaster,Rapho Twp - Willow Creek Dist,461,605,,1066,43.25,56.75,0.00
"6600",Lancaster,Sadsbury Twp,233,570,1,804,28.98,70.90,0.12
"6701",Lancaster,Salisbury Twp - Cambridge Dist,173,637,1,811,21.33,78.55,0.12
"6702",Lancaster,Salisbury Twp - Gap Dist,250,530,2,782,31.97,67.77,0.26
"6703",Lancaster,Salisbury Twp - White Horse Dist,200,709,,909,22.00,78.00,0.00
"6800",Lancaster,Strasburg Twp,404,1046,2,1452,27.82,72.04,0.14
"6901",Lancaster,Warwick Twp - Brunnerville Dist,313,640,,953,32.84,67.16,0.00
"6902",Lancaster,Warwick Twp - Kissel Hill Dist,453,613,2,1068,42.42,57.40,0.19
"6903",Lancaster,Warwick Twp - Rothsville Dist,320,580,1,901,35.52,64.37,0.11
"6904",Lancaster,Warwick Twp - Woodcrest Dist,410,399,,809,50.68,49.32,0.00
