Precinct,DistName,DISTID,County,King,Smucker,WriteIn,Total,KingPct,SmuckPct,WIPct,Wolf,Wagner,Glover,Krawchuk,Write In,Total,WolfPct,WagnerPct,KingWolfdiff,Clinton,Trump,Castle,Stein,Johnson,Write In,Total,ClintonPct,TrumpPct,KingClintDiff,Casey,Barletta,Gale,Kerns,Write In,SenTotal,CaseyPct,BarlettaPct,KingCaseyDiff
East Petersburg Boro North,1500,L1500,Lancaster,399,297,0,696,57.33,42.67,0.00,408,268,5,11,0,692,58.96,38.73,-1.63,408,386,7,3,29,22,855,47.72,45.15,9.61,389,287,7,10,,693,56.13,41.41,1.19
East Petersburg Boro South,1501,L1501,Lancaster,321,304,0,625,51.36,48.64,0.00,343,266,8,5,0,622,55.14,42.77,-3.78,298,336,10,6,26,28,704,42.33,47.73,9.03,333,282,9,4,,628,53.03,44.90,-1.67
East Petersburg Boro West,1502,L1502,Lancaster,332,364,0,696,47.70,52.30,0.00,354,325,7,8,0,694,51.01,46.83,-3.31,292,467,7,14,36,18,834,35.01,56.00,12.69,334,338,8,9,,689,48.48,49.06,-0.77
Elizabethtown Boro - 1st Ward,1601,L1601,Lancaster,560,575,2,1137,49.25,50.57,0.18,570,519,23,29,0,1141,49.96,45.49,-0.70,557,799,14,26,72,16,1484,37.53,53.84,11.72,550,552,15,28,,1145,48.03,48.21,1.22
Elizabethtown Boro - 2nd Ward,1602,L1602,Lancaster,377,490,3,870,43.33,56.32,0.34,422,428,2,16,0,868,48.62,49.31,-5.28,372,624,10,6,47,25,1084,34.32,57.56,9.02,396,463,6,10,,875,45.26,52.91,-1.92
Elizabethtown Boro - 3rd Ward - 1st Precinct,1603,L1603,Lancaster,216,302,0,518,41.70,58.30,0.00,239,262,7,7,1,516,46.32,50.78,-4.62,207,378,6,5,23,5,624,33.17,60.58,8.53,238,270,5,6,,519,45.86,52.02,-4.16
Elizabethtown Boro - 3rd Ward - 2nd Precinct,1604,L1604,Lancaster,389,515,0,904,43.03,56.97,0.00,439,441,2,19,0,901,48.72,48.95,-5.69,329,623,2,10,54,21,1039,31.67,59.96,11.37,404,481,4,17,1,907,44.54,53.03,-1.51
Elizabethtown Boro - 3rd Ward - 3rd Precinct,1605,L1605,Lancaster,253,277,0,530,47.74,52.26,0.00,274,241,5,8,1,529,51.80,45.56,-4.06,296,405,4,19,43,11,778,38.05,52.06,9.69,248,275,4,11,,538,46.10,51.12,1.64
Ephrata Boro - 1st Ward,1701,L1701,Lancaster,400,617,2,1019,39.25,60.55,0.20,420,564,11,21,1,1017,41.30,55.46,-2.04,372,738,10,17,67,24,1228,30.29,60.10,8.96,416,575,12,22,2,1027,40.51,55.99,-1.25
Ephrata Boro - 2nd Ward,1702,L1702,Lancaster,520,741,4,1265,41.11,58.58,0.32,552,680,8,24,1,1265,43.64,53.75,-2.53,463,1061,12,21,98,23,1678,27.59,63.23,13.51,528,700,13,30,,1271,41.54,55.07,-0.44
